Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_CrossingHuman_Control,Pedestrian_CrossingPhysical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2019521900045,360193,174290,-2.574436,51.466169,52,3,2,1,02/01/2019,4,14:56,601,E06000023,1,32,7,70,5,4,1,32,0,7,1,1,1,0,0,1,2,E01014654
2019521900093,360763,172782,-2.566063,51.45265,52,3,2,1,03/01/2019,5,09:10,601,E06000023,6,0,6,20,6,4,6,0,0,0,1,1,1,0,0,1,3,E01033369
2019521900111,361151,175179,-2.560743,51.474229,52,1,1,1,05/01/2019,7,19:00,601,E06000023,4,4469,3,20,5,2,1,32,0,5,4,1,2,0,0,1,1,E01014574
2019521900138,360268,174431,-2.573372,51.467442,52,3,2,1,03/01/2019,5,16:25,601,E06000023,6,0,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,E01014485
2019521900145,360786,170736,-2.565504,51.434256,52,3,3,1,09/01/2019,4,08:45,601,E06000023,6,0,6,20,3,4,3,37,0,5,1,1,1,0,0,1,2,E01014651
2019521900169,362408,172839,-2.542395,51.453274,52,3,2,1,09/01/2019,4,08:15,601,E06000023,6,0,6,30,3,4,6,0,0,0,1,9,1,0,0,1,2,E01014529
2019521900209,362448,173935,-2.541937,51.463131,52,3,2,1,11/01/2019,6,16:26,601,E06000023,6,0,6,20,6,4,6,0,0,0,7,9,1,0,0,1,2,E01014686
2019521900211,362113,173565,-2.546719,51.459782,52,3,2,1,11/01/2019,6,07:50,601,E06000023,3,420,6,20,3,4,6,0,0,0,7,1,1,0,0,1,2,E01014684
2019521900319,360627,173414,-2.568091,51.458323,52,3,2,1,17/01/2019,5,08:15,601,E06000023,3,420,6,20,3,2,6,0,0,0,1,1,1,0,0,1,2,E01014653
2019521900332,357038,177395,-2.620231,51.493855,52,3,2,1,17/01/2019,5,14:45,601,E06000023,6,0,9,20,8,4,6,0,0,0,1,1,2,0,0,1,2,E01014719
2019521900358,359106,173845,-2.590032,51.46209,52,3,2,1,19/01/2019,7,21:00,601,E06000023,6,0,6,20,3,2,3,38,0,0,7,2,2,1,0,1,2,E01033348
2019521900379,361005,173768,-2.562689,51.461532,52,3,1,1,14/01/2019,2,10:30,601,E06000023,4,4465,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01014564
2019521900380,359849,171819,-2.579107,51.443927,52,3,1,1,21/01/2019,2,12:35,601,E06000023,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01014730
2019521900382,360779,170617,-2.565592,51.433185,52,3,2,1,21/01/2019,2,10:20,601,E06000023,3,37,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01014645
2019521900409,362790,170133,-2.536613,51.428969,52,3,2,1,19/01/2019,7,18:04,601,E06000023,3,4,3,40,0,-1,-1,0,0,0,6,9,2,0,0,1,1,E01014526
2019521900453,359097,176722,-2.590495,51.487957,52,3,2,1,24/01/2019,5,07:50,601,E06000023,4,4468,6,20,3,2,6,0,0,5,7,1,1,0,0,1,2,E01014637
