Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019521900045,1,1,1,2,29,6,3,0,0,0,0,0,9,1,1
2019521900093,1,1,1,1,27,6,3,0,0,0,0,0,1,1,3
2019521900111,1,1,3,2,79,11,1,1,1,0,0,0,0,1,3
2019521900138,2,1,1,1,29,6,3,0,0,0,0,0,1,1,7
2019521900145,1,1,1,2,43,7,3,0,0,0,0,0,9,1,7
2019521900169,2,1,1,1,35,6,3,0,0,0,0,0,1,1,2
2019521900209,1,1,1,2,51,8,3,0,0,0,0,0,9,1,2
2019521900211,2,1,1,1,25,5,3,0,0,0,0,0,1,-1,-1
2019521900319,1,1,1,1,32,6,3,0,0,0,0,0,1,1,2
2019521900332,1,1,1,1,63,9,3,0,0,0,0,0,9,1,8
2019521900358,1,1,1,2,37,7,3,0,0,0,0,0,9,1,1
2019521900379,1,1,3,1,35,6,3,9,5,0,0,0,0,-1,-1
2019521900380,1,1,3,1,21,5,3,10,9,0,0,0,0,1,5
2019521900382,1,1,1,1,26,6,3,0,0,0,0,0,11,1,3
2019521900409,1,1,1,1,50,8,3,0,0,0,0,0,9,1,8
2019521900453,1,1,1,1,27,6,3,0,0,0,0,0,1,1,7
2019521900457,1,1,3,2,50,8,3,6,9,0,0,0,0,-1,-1
2019521900485,1,1,1,1,39,7,3,0,0,0,0,0,1,1,6
2019521900488,1,1,1,1,47,8,3,0,0,0,0,0,1,1,3
2019521900490,1,1,3,2,32,6,3,5,9,0,0,0,0,1,10
2019521900503,1,1,1,1,32,6,3,0,0,0,0,0,1,1,5
2019521900531,1,1,1,1,25,5,3,0,0,0,0,0,9,1,3
2019521900538,1,1,1,1,19,4,3,0,0,0,0,0,1,1,1
2019521900540,2,1,1,1,42,7,3,0,0,0,0,0,1,-1,-1
2019521900549,1,1,1,1,41,7,3,0,0,0,0,0,1,1,4
2019521900562,1,1,1,2,33,6,3,0,0,0,0,0,9,1,4
2019521900568,1,1,3,2,14,3,3,5,1,0,0,0,0,1,1
2019521900569,1,1,1,2,36,7,3,0,0,0,0,0,1,1,3
2019521900588,2,1,1,2,25,5,3,0,0,0,0,0,1,-1,-1
2019521900636,1,1,1,2,27,6,3,0,0,0,0,0,1,1,4
2019521900643,1,1,1,2,28,6,3,0,0,0,0,0,1,1,6
2019521900727,1,1,1,2,34,6,3,0,0,0,0,0,9,1,2
2019521900739,2,1,1,2,28,6,3,0,0,0,0,0,1,1,5
2019521900805,1,1,1,1,51,8,3,0,0,0,0,0,9,1,3
2019521900862,1,1,1,1,65,9,3,0,0,0,0,0,9,1,1
2019521900869,1,1,1,1,13,3,3,0,0,0,0,0,1,1,3
2019521900889,1,1,1,1,36,7,3,0,0,0,0,0,9,1,5
2019521900895,1,1,1,1,28,6,3,0,0,0,0,0,3,1,3
2019521900897,1,1,1,1,33,6,3,0,0,0,0,0,1,1,6
2019521900953,1,1,1,2,64,9,3,0,0,0,0,0,9,1,4
2019521900976,1,1,1,2,30,6,3,0,0,0,0,0,1,1,5
2019521900987,1,1,2,2,23,5,3,0,0,2,0,0,8,1,6
2019521901004,1,1,1,1,47,8,3,0,0,0,0,0,9,1,4
2019521901041,1,1,1,1,22,5,3,0,0,0,0,0,1,1,4
2019521901044,1,1,1,1,28,6,3,0,0,0,0,0,9,1,1
2019521901071,1,1,1,1,34,6,3,0,0,0,0,0,1,1,1
2019521901073,2,1,1,1,28,6,2,0,0,0,0,0,3,1,8
2019521901134,2,1,1,1,25,5,2,0,0,0,0,0,3,1,10
2019521901166,1,1,1,1,18,4,3,0,0,0,0,0,9,1,2
2019521901167,1,1,1,1,40,7,3,0,0,0,0,0,1,1,2
2019521901177,1,1,1,2,35,6,3,0,0,0,0,0,9,1,2
2019521901206,2,1,1,1,17,4,3,0,0,0,0,0,1,1,7
2019521901238,1,1,1,2,40,7,3,0,0,0,0,0,1,1,1
2019521901240,1,1,3,2,29,6,3,5,1,0,0,0,0,1,5
2019521901247,1,1,1,1,35,6,3,0,0,0,0,0,9,1,10
2019521901250,1,1,1,1,32,6,3,0,0,0,0,0,9,3,8
2019521901327,1,1,1,1,26,6,3,0,0,0,0,0,1,1,4
2019521901350,1,1,2,1,20,4,3,0,0,0,0,0,19,1,4
2019521901384,1,1,1,1,56,9,3,0,0,0,0,0,9,1,2
2019521901392,1,1,3,1,24,5,3,5,3,0,0,0,0,1,4
2019521901399,1,1,1,2,44,7,3,0,0,0,0,0,9,1,5
2019521901402,1,1,1,1,45,7,3,0,0,0,0,0,9,1,1
2019521901420,1,1,1,2,27,6,3,0,0,0,0,0,1,1,3
2019521901427,1,1,2,1,26,6,3,0,0,1,0,0,9,1,6
2019521901474,1,1,1,1,53,8,3,0,0,0,0,0,1,1,5
2019521901481,2,1,1,1,30,6,3,0,0,0,0,0,9,-1,-1
2019521901484,1,1,1,2,25,5,3,0,0,0,0,0,9,1,8
2019521901485,1,1,1,1,50,8,3,0,0,0,0,0,1,1,3
2019521901540,1,1,1,1,42,7,3,0,0,0,0,0,9,1,3
2019521901541,1,1,1,1,39,7,3,0,0,0,0,0,1,2,5
2019521901573,1,1,1,1,45,7,3,0,0,0,0,0,9,1,2
2019521901573,2,2,1,1,23,5,3,0,0,0,0,0,9,1,4
2019521901590,1,1,3,1,30,6,3,5,9,0,0,0,0,-1,-1
2019521901596,1,1,1,1,56,9,3,0,0,0,0,0,9,1,3
2019521901616,1,1,1,2,43,7,3,0,0,0,0,0,9,1,7
2019521901618,1,1,1,1,82,11,1,0,0,0,0,0,9,1,8
2019521901637,1,1,1,2,30,6,3,0,0,0,0,0,9,-1,-1
2019521901646,1,1,3,2,18,4,3,9,9,0,0,0,0,1,1
2019521901649,1,1,1,2,49,8,3,0,0,0,0,0,9,1,1
2019521901655,1,1,3,1,36,7,3,1,9,0,0,0,0,1,9
2019521901693,1,1,1,2,22,5,3,0,0,0,0,0,1,1,7
2019521901714,1,1,1,1,22,5,3,0,0,0,0,0,9,1,5
2019521901718,1,1,3,1,25,5,3,5,3,0,0,0,0,1,2
2019521901743,2,1,1,1,16,4,3,0,0,0,0,0,1,1,4
2019521901759,1,1,3,2,70,10,2,5,9,0,0,0,0,1,2
2019521901789,1,1,1,1,44,7,3,0,0,0,0,0,1,1,8
2019521901798,1,1,1,1,51,8,3,0,0,0,0,0,3,1,7
2019521901809,1,1,1,2,40,7,3,0,0,0,0,0,9,1,8
2019521901827,1,1,1,1,19,4,3,0,0,0,0,0,1,1,6
