Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_LocationRestricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019521900045,1,9,0,3,0,1,0,0,0,0,2,1,6,2,29,6,1248,2,7,1,1,1
2019521900045,2,19,0,18,0,1,0,0,0,0,1,1,6,2,30,6,2299,2,3,-1,-1,-1
2019521900093,1,1,0,18,0,8,0,0,0,0,4,1,6,1,27,6,-1,-1,-1,3,1,3
2019521900093,2,9,0,7,0,8,0,0,0,0,1,1,6,1,50,8,2183,2,9,-1,-1,-1
2019521900111,1,9,0,18,0,8,0,0,0,0,1,1,6,1,26,6,1968,2,9,5,1,5
2019521900138,1,9,0,18,0,8,0,0,0,0,1,1,6,1,47,8,-1,-1,-1,4,1,4
2019521900138,2,1,0,18,0,8,0,0,0,0,1,1,6,1,29,6,-1,-1,-1,7,1,7
2019521900145,1,9,0,3,0,8,0,0,0,0,2,1,6,2,43,7,1598,1,15,7,1,7
2019521900145,2,9,0,4,0,8,0,0,0,0,1,1,6,1,65,9,-1,-1,-1,-1,-1,-1
2019521900145,3,9,0,3,0,8,0,0,0,0,2,1,6,2,45,7,-1,-1,-1,-1,-1,-1
2019521900169,1,9,0,9,0,1,0,0,0,0,1,1,6,2,33,6,-1,-1,-1,6,1,6
2019521900169,2,1,0,18,0,8,0,0,0,0,1,1,6,1,35,6,-1,-1,-1,2,1,2
2019521900209,1,9,0,2,0,1,0,0,0,0,0,1,2,2,51,8,1950,2,3,2,1,2
2019521900209,2,8,0,1,0,5,0,0,0,0,0,1,1,2,40,7,1956,2,8,-1,-1,-1
2019521900211,1,9,0,9,0,6,0,0,0,0,1,1,6,1,26,6,1364,2,5,5,1,5
2019521900211,2,1,0,18,0,1,0,0,0,0,1,1,6,1,25,5,-1,-1,-1,-1,-1,-1
2019521900319,1,1,0,18,0,1,0,0,0,0,1,1,6,1,32,6,-1,-1,-1,2,1,2
2019521900319,2,9,0,7,0,5,0,0,0,0,2,1,6,1,18,4,-1,-1,-1,-1,-1,-1
2019521900332,1,9,0,9,0,8,0,0,0,0,2,1,6,1,63,9,2184,2,10,8,1,8
2019521900332,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,4,1,4
2019521900358,1,9,0,3,0,6,0,0,0,0,2,1,6,2,37,7,1598,1,6,1,1,1
2019521900358,2,9,0,5,0,1,0,0,0,0,1,1,6,3,-1,-1,1590,1,17,-1,-1,-1
2019521900379,1,9,0,18,0,0,0,0,0,0,4,1,6,1,52,8,1995,2,8,4,1,4
2019521900380,1,9,0,1,0,0,0,0,0,0,2,1,6,3,-1,-1,1362,1,7,-1,-1,-1
2019521900382,1,11,0,18,0,0,0,0,0,0,4,1,1,1,26,6,6700,2,4,3,1,3
2019521900382,2,19,0,11,0,0,0,0,0,0,3,1,6,1,45,7,1968,2,3,7,1,7
2019521900409,1,9,0,18,0,0,0,0,0,0,3,1,6,1,50,8,1598,1,3,8,1,8
2019521900409,2,9,0,18,0,0,0,0,0,0,4,1,6,2,28,6,1364,1,2,-1,-1,-1
2019521900453,1,1,0,3,0,1,0,0,0,0,3,1,1,1,27,6,-1,-1,-1,7,1,7
2019521900453,2,8,0,7,0,1,0,0,0,0,4,1,1,1,30,6,1997,1,5,-1,-1,-1
2019521900457,1,9,0,10,0,6,0,0,0,0,1,1,6,2,30,6,1798,1,3,6,1,6
2019521900485,1,1,0,18,0,8,0,0,0,0,1,1,6,1,39,7,-1,-1,-1,6,1,6
2019521900485,2,9,0,7,0,6,0,0,0,0,1,1,6,2,20,4,-1,-1,-1,-1,-1,-1
2019521900488,1,1,0,18,5,0,0,0,0,0,1,1,6,1,47,8,-1,-1,-1,3,1,3
2019521900488,2,1,0,18,5,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019521900490,1,9,0,18,0,0,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
2019521900503,1,1,0,18,0,0,1,0,0,0,2,1,6,1,32,6,-1,-1,-1,5,1,5
2019521900503,2,3,0,18,0,0,0,0,0,0,1,1,6,1,38,7,-1,-1,-1,-1,-1,-1
2019521900531,1,9,0,3,0,0,0,0,0,0,2,1,6,1,25,5,1388,1,16,3,1,3
2019521900531,2,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019521900538,1,1,0,18,0,1,0,0,0,0,1,1,6,1,19,4,-1,-1,-1,1,1,1
2019521900538,2,9,0,13,0,1,0,0,0,0,0,1,6,1,40,7,-1,-1,-1,-1,-1,-1
2019521900540,1,9,0,9,0,5,0,0,0,0,3,1,6,1,46,8,1686,2,9,6,1,6
2019521900540,2,1,0,5,0,1,0,0,0,0,1,1,6,1,42,7,-1,-1,-1,-1,-1,-1
2019521900549,1,1,0,18,0,1,0,0,0,0,1,1,6,1,41,7,-1,-1,-1,4,1,4
2019521900549,2,9,0,7,0,1,0,0,0,0,3,1,6,2,45,7,-1,-1,-1,-1,-1,-1
2019521900562,1,9,0,17,0,1,0,0,0,0,1,1,6,2,33,6,1229,1,9,4,1,4
2019521900562,2,9,0,12,0,2,0,0,0,0,1,1,6,1,30,6,1997,2,14,-1,-1,-1
2019521900568,1,9,0,18,0,1,0,0,0,0,3,1,6,1,49,8,-1,-1,-1,-1,-1,-1
2019521900569,1,1,0,18,0,8,0,0,0,0,1,1,6,2,36,7,-1,-1,-1,3,1,3
2019521900569,2,9,0,9,0,5,0,0,0,0,1,1,6,3,50,8,2143,2,3,-1,-1,-1
2019521900588,1,8,0,9,0,5,0,0,0,0,1,1,6,2,24,5,998,1,7,7,1,7
